kmeans2,kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
mediumseagreen,darkviolet,navy,navy,darkviolet,37.7725405392,-122.466204668
coral,mediumseagreen,coral,yellow,yellow,37.7754207067,-122.403404791
mediumseagreen,darkviolet,navy,navy,darkviolet,37.7612911364,-122.48503873
coral,mediumseagreen,coral,yellow,yellow,37.7864394525,-122.409660752
mediumseagreen,coral,mediumseagreen,coral,coral,37.7578801214,-122.417955822
coral,mediumseagreen,coral,yellow,mediumseagreen,37.7869881885,-122.410699658
coral,mediumseagreen,coral,yellow,mediumseagreen,37.7869881885,-122.410699658
coral,mediumseagreen,coral,yellow,mediumseagreen,37.7869881885,-122.410699658
mediumseagreen,coral,mediumseagreen,coral,coral,37.7578884408,-122.417817853
coral,mediumseagreen,coral,yellow,yellow,37.7833104067,-122.388379874
coral,mediumseagreen,coral,yellow,yellow,37.7833104067,-122.388379874
coral,mediumseagreen,coral,yellow,yellow,37.7833104067,-122.388379874
coral,mediumseagreen,coral,yellow,yellow,37.7833104067,-122.388379874
coral,mediumseagreen,coral,yellow,yellow,37.7833104067,-122.388379874
coral,mediumseagreen,coral,yellow,yellow,37.7833104067,-122.388379874
coral,mediumseagreen,coral,yellow,yellow,37.7754207067,-122.403404791
coral,mediumseagreen,coral,yellow,yellow,37.7754207067,-122.403404791
coral,mediumseagreen,coral,yellow,yellow,37.7833104067,-122.388379874
coral,mediumseagreen,coral,yellow,yellow,37.7833104067,-122.388379874
coral,mediumseagreen,coral,yellow,yellow,37.7833104067,-122.388379874
coral,mediumseagreen,coral,yellow,yellow,37.7833104067,-122.388379874
coral,mediumseagreen,coral,yellow,yellow,37.790463178,-122.405941469
coral,mediumseagreen,coral,yellow,yellow,37.7899019823,-122.407114491
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7859988324,-122.411747372
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7859342572,-122.426508142
coral,darkviolet,navy,navy,darkviolet,37.7808757917,-122.470190416
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7769551138,-122.417997608
mediumseagreen,darkviolet,navy,navy,darkviolet,37.7513339692,-122.478349616
mediumseagreen,coral,mediumseagreen,coral,coral,37.7588312135,-122.415781282
mediumseagreen,coral,mediumseagreen,coral,coral,37.7586968166,-122.417964484
coral,mediumseagreen,navy,navy,darkviolet,37.7812550935,-122.458860616
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
coral,mediumseagreen,coral,yellow,yellow,37.7854574903,-122.400916029
mediumseagreen,darkviolet,darkviolet,darkviolet,navy,37.7383655655,-122.47548463
coral,mediumseagreen,coral,yellow,yellow,37.787359495,-122.408231026
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
mediumseagreen,coral,mediumseagreen,coral,coral,37.7571005796,-122.417812559
mediumseagreen,coral,mediumseagreen,coral,coral,37.7571005796,-122.417812559
mediumseagreen,coral,mediumseagreen,coral,coral,37.7604330004,-122.41592985
mediumseagreen,coral,mediumseagreen,coral,coral,37.7604330004,-122.41592985
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
mediumseagreen,coral,mediumseagreen,coral,coral,37.7604330004,-122.41592985
mediumseagreen,coral,mediumseagreen,coral,coral,37.7588955948,-122.414693065
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
mediumseagreen,coral,mediumseagreen,coral,coral,37.7604330004,-122.41592985
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
